number,name,url,size,N_Jan,N_Feb,N_Mar,N_Apr,N_May,N_Jun,N_Jul,N_Aug,N_Sep,N_Oct,N_Nov,N_Dec,S_Jan,S_Feb,S_Mar,S_Apr,S_May,S_Jun,S_Jul,S_Aug,S_Sep,S_Oct,S_Nov,S_Dec
1,seaweed,https://acnhcdn.com/latest/MenuIcon/Wakame.png,large,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
2,sea grapes,https://acnhcdn.com/latest/MenuIcon/Umibudou.png,small,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3,sea cucumber,https://acnhcdn.com/latest/MenuIcon/Namako.png,medium,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA
4,sea pig,https://acnhcdn.com/latest/MenuIcon/Senjunamako.png,small,1600-0900,1600-0900,NA,NA,NA,NA,NA,NA,NA,NA,1600-0900,1600-0900,NA,NA,NA,NA,1600-0900,1600-0900,1600-0900,1600-0900,NA,NA,NA,NA
5,sea star,https://acnhcdn.com/latest/MenuIcon/Hitode.png,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,sea urchin,https://acnhcdn.com/latest/MenuIcon/Uni.png,small,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
7,slate pencil urchin,https://acnhcdn.com/latest/MenuIcon/Paipuuni.png,medium,NA,NA,NA,NA,1600-0900,1600-0900,1600-0900,1600-0900,1600-0900,NA,NA,NA,1600-0900,1600-0900,1600-0900,NA,NA,NA,NA,NA,NA,NA,1600-0900,1600-0900
8,sea anemone,https://acnhcdn.com/latest/MenuIcon/Isogintyaku.png,large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,moon jellyfish,https://acnhcdn.com/latest/MenuIcon/Mizukurage.png,small,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,sea slug,https://acnhcdn.com/latest/MenuIcon/Umiushi.png,xsmall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,pearl oyster,https://acnhcdn.com/latest/MenuIcon/Akoyagai.png,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,mussel,https://acnhcdn.com/latest/MenuIcon/Muhrugai.png,small,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
13,oyster,https://acnhcdn.com/latest/MenuIcon/Kaki.png,small,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
14,scallop,https://acnhcdn.com/latest/MenuIcon/Hotate.png,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,whelk,https://acnhcdn.com/latest/MenuIcon/Baigai.png,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,turban shell,https://acnhcdn.com/latest/MenuIcon/Sazae.png,small,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,NA
